symptoms,medicine
headache fever,Paracetamol
cough cold sore throat,Combiflam
stomach pain acidity,Cetirizine
allergy itching rash,Omeprazole
body pain muscle pain,Aspirin
fever chills,Paracetamol
cold runny nose sneezing,Cetirizine
acidity heartburn,Omeprazole
headache migraine,Aspirin
cough chest congestion,Ambroxol
fever headache body pain,Paracetamol
sore throat difficulty swallowing,Azithromycin
stomach pain diarrhea,Loperamide
skin rash itching,Cetirizine
joint pain inflammation,Ibuprofen
nasal congestion sinus,Pseudoephedrine
nausea vomiting,Domperidone
toothache dental pain,Diclofenac
eye irritation redness,Chloramphenicol
ear pain infection,Amoxicillin
migraine severe headache,Sumatriptan
common cold sneezing,Chlorpheniramine
gastric problem acidity,Pantoprazole
skin allergy hives,Fexofenadine
back pain muscle spasm,Diclofenac Gel
viral fever temperature,Ibuprofen
sinus headache pressure,Pseudoephedrine
indigestion bloating,Simethicone
muscle cramps pain,Magnesium Supplement
bronchitis cough,Salbutamol
arthritis joint swelling,Naproxen
conjunctivitis red eyes,Antibiotic Eye Drops
ear infection discharge,Ciprofloxacin Ear Drops
urinary infection burning,Nitrofurantoin
asthma breathing difficulty,Salbutamol Inhaler
